,job_titel,company_name,Loction,salery,other_role
0,Life Insurance Advisor,Kotak Life Insurance,Barasat,"₹15,000 - ₹95,000",Full time  No test required  Freshers only
1,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Lucknow (Work from home),"₹19,000 - ₹90,000",Full time  No test required  Freshers only
2,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Lucknow (Work from home),"₹19,000 - ₹80,000",Full time  No test required  Freshers only
3,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹80,000",Full time  No test required  Freshers only
4,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Dehradun (Work from home),"₹19,000 - ₹76,000",Part time  No test required  Freshers only
5,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Aman Vihar,"₹19,000 - ₹75,000",Full time  No test required  Freshers only
6,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Meerut (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
7,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Dehradun (Work from home),"₹19,000 - ₹76,000",Part time  No test required  Freshers only
8,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Gorakhpur (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
9,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Gandhi Nagar,"₹19,000 - ₹75,000",Part time  No test required  Freshers only
10,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Raipur (Work from home),"₹19,000 - ₹76,000",Part time  No test required  Freshers only
11,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Chandigarh (Work from home),"₹19,000 - ₹75,000",Part time  No test required  Freshers only
12,Insurance Manager,Bajaj Allianz General Insurance Company Limited,Santoshi Mata Chowk,"₹19,000 - ₹60,000",Full time  No test required  Freshers only
13,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Ludhiana (Work from home),"₹19,000 - ₹75,000",Part time  No test required  Freshers only
14,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Ishwar Nagar,"₹19,000 - ₹75,000",Full time  No test required  Freshers only
15,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Lucknow (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
16,Field Sales Executive,Bajaj Finserv Health Limited,College Road,"₹15,000 - ₹80,000",Full time  No test required  Freshers only
17,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Agra (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
18,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Bhubaneswar (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
19,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Solapur (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
20,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Bikaner (Work from home),"₹19,000 - ₹75,000",Part time  No test required  Freshers only
21,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Nagpur (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
22,Spa Therapist,Urban Company,NH-91,"₹40,000 - ₹60,000",Full time  No test required  Freshers only
